Region,Country,Size,Owned by,SME?,# Enterprises,Have Checking,Have Overdraft,Have Loan,Have Access to Credit,Access to finance as major/severe barrier,Does not need credit,Unserved,Underserved,Well served,Loan size - average size per revenue,Average loan duration (months),Loan rejection rate,Private Commercial Bank as Source of Financing,State-owned Bank and/or Govt. Agency as Source of Financing,Non-bank Financial Institution as Source of Financing,Other Source of Financing,Average credit value gap per enterprise,Total credit value gap,Average deposit gap per enterprise,Total deposit gap
,Italy,,Female,SME,478902,,,,,,,,,,,,,,,,,0,0,0,0
,Jamaica,,Female,SME,13625,,,,,,,,,,,,,,,,,31771,432892186,5052,68839499
,Japan,,Female,SME,1053892,,,,,,,,,,,,,,,,,0,0,0,0
,Jordan,,Female,SME,4032,90%,40%,36%,58%,20%,36%,6%,27%,31%,33%,22.31,23%,94%,3%,0%,3%,9878,39832519,324,1304873
,Kazakhstan,,Female,SME,31747,94%,11%,23%,28%,29%,41%,31%,26%,3%,19%,,21%,100%,0%,0%,0%,45301,1438185723,3606,114484528
,Kenya,,Female,SME,52519,91%,17%,28%,33%,52%,19%,48%,29%,4%,15%,,,,,,,12454,654050764,649,34066744
,Kuwait,,Female,SME,2244,,,,,,,,,,,,,,,,,747895,1678600268,26205,58814727
,Kyrgyz Republic,,Female,SME,7200,67%,30%,25%,46%,31%,25%,29%,34%,12%,25%,,22%,78%,13%,9%,0%,15145,109045330,7683,55317210
,Laos,,Female,SME,6481,100%,8%,11%,16%,32%,53%,31%,11%,5%,13%,,0%,25%,51%,24%,0%,10715,69440732,142,920589
,Latvia,,Female,SME,10608,99%,22%,44%,48%,23%,28%,24%,26%,22%,10%,,26%,72%,26%,0%,2%,55753,591401599,1378,14614984
,Lebanon,,Female,SME,578,81%,53%,32%,74%,55%,14%,11%,65%,9%,,53.57,14%,,,,,37368,21609848,1735,1003125
,Lesotho,,Female,SME,0,,,,,,,,,,,,,,,,,,54494597,,2409020
,Liberia,,Female,SME,300,,,,,,,,,,,,,,,,,237662,71354140,11229,3371295
,Libyan Arab Jamahiriya,,Female,SME,5388,,,,,,,,,,,,,,,,,170617,919246498,6040,32539522
,Lithuania,,Female,SME,16771,100%,11%,42%,43%,23%,37%,20%,28%,15%,8%,,7%,89%,11%,0%,0%,64307,1078500435,0,0
,Luxembourg,,Female,SME,3321,,,,,,,,,,,,,,,,,0,0,0,0
,Macedonia (the former Yugoslav Republic of),,Female,SME,4643,90%,20%,58%,60%,34%,27%,14%,53%,7%,18%,,38%,92%,0%,8%,0%,32240,149698305,1951,9059735
,Madagascar,,Female,SME,0,,,,,,,,,,,,,,,,,,364772090,,18595312
,Malawi,,Female,SME,16143,,,,,,,,,,,,,,,,,9705,156668965,554,8948554
,Malaysia,,Female,SME,563,100%,68%,64%,100%,0%,0%,0%,68%,32%,,,0%,,,,,1763116,992234849,0,0
,Maldives,,Female,SME,37,,,,,,,,,,,,,,,,,18928,698426,14423,532201
,Mali,,Female,SME,0,,,,,,,,,,,,,,,,,,189436434,,9221001
,Mauritania,,Female,SME,2630,88%,38%,29%,46%,51%,0%,54%,39%,6%,13%,19.19,26%,100%,0%,0%,0%,55927,147110943,1436,3778469
,Mauritius,,Female,SME,0,,,,,,,,,,,,,,,,,,73773528,,3988537
,Mexico,,Female,SME,163545,40%,13%,11%,21%,15%,52%,27%,12%,9%,8%,24.57,22%,87%,11%,2%,1%,19930,3259541432,4665,762915659
,Micronesia,,Female,SME,425,99%,6%,28%,32%,26%,27%,41%,19%,13%,20%,,,57%,25%,0%,19%,10700,4543697,1418,602157
,Moldova,,Female,SME,8696,91%,27%,40%,48%,28%,27%,25%,33%,15%,19%,,19%,80%,17%,3%,0%,30156,262225931,4314,37510656
,Mongolia,,Female,SME,8766,56%,27%,47%,62%,42%,15%,23%,52%,11%,20%,,27%,95%,5%,0%,0%,4072,35693724,9932,87061656
,Montenegro,,Female,SME,1888,84%,54%,56%,74%,9%,0%,26%,41%,34%,13%,,28%,68%,17%,15%,0%,44179,83401666,17747,33503584
,Morocco,,Female,SME,7478,94%,92%,80%,93%,84%,4%,3%,89%,5%,7%,55.95,3%,100%,0%,0%,0%,21567,161282248,17653,132017757
,Mozambique,,Female,SME,1030,76%,18%,16%,28%,49%,12%,60%,21%,7%,9%,18,54%,82%,0%,16%,2%,13381,13789424,1933,1992252
,Namibia,,Female,SME,2774,100%,58%,27%,64%,24%,26%,10%,23%,41%,24%,54.86,51%,92%,8%,0%,0%,26632,73869339,0,0
,Nepal,,Female,SME,4283,76%,26%,31%,40%,9%,35%,25%,23%,17%,22%,,,55%,14%,31%,1%,7250,31047311,1776,7606266
,Netherlands,,Female,SME,71317,,,,,,,,,,,,,,,,,0,0,0,0
,New Zealand,,Female,SME,22377,,,,,,,,,,,,,,,,,0,0,0,0
,Nicaragua,,Female,SME,14661,83%,26%,44%,53%,20%,30%,17%,30%,22%,16%,,,74%,0%,21%,6%,31972,468749379,3828,56127376
,Niger,,Female,SME,0,,,,,,,,,,,,,,,,,,1002759305,,45541203
,Nigeria,,Female,SME,231689,,9%,5%,11%,,20%,69%,8%,3%,11%,,,,,,,8393,1944451348,403,93477994
,Norway,,Female,SME,32071,,,,,,,,,,,,,,,,,0,0,0,0
,Oman,,Female,SME,438,,,,,,,,,,,,,,,,,232171,101691059,8298,3634360
,Pakistan,,Female,SME,20358,68%,16%,15%,18%,49%,35%,47%,16%,1%,36%,39.26,0%,98%,0%,2%,0%,8296,168889155,952,19389741
,Palestine,,Female,SME,3476,,,,,,,,,,,,,,,,,42369,147274287,1500,5213221
,Panama,,Female,SME,2416,63%,51%,32%,60%,4%,16%,24%,36%,24%,23%,,,88%,10%,2%,0%,60826,146960786,20692,49993879
,Papua New Guinea,,Female,SME,14218,,,,,,,,,,,,,,,,,13009,184962223,21994,312714194
,Paraguay,,Female,SME,48308,78%,61%,46%,80%,24%,10%,10%,50%,30%,7%,,,54%,0%,45%,0%,26256,1268359759,5146,248590543
,Peru,,Female,SME,38213,86%,35%,60%,70%,13%,14%,16%,51%,19%,16%,,,86%,0%,14%,0%,22034,842006150,2007,76702059
,Philippines,,Female,SME,145417,96%,17%,28%,33%,13%,44%,22%,21%,12%,17%,,,92%,1%,7%,0%,7821,1137333938,711,103459454
,Poland,,Female,SME,164647,96%,44%,45%,56%,19%,31%,13%,46%,10%,17%,,9%,64%,36%,0%,0%,55323,9108836289,2986,491596624
,Portugal,,Female,SME,106019,,,,,,,,,,,,,,,,,0,0,0,0
,Qatar,,Female,SME,826,,,,,,,,,,,,,,,,,1157402,955945953,40450,33409574
,Republic of Korea,,Female,SME,106637,,,,,,,,,,,,,,,,,109042,11627910849,184357,19659218529
,Romania,,Female,SME,55517,49%,44%,41%,48%,41%,34%,18%,42%,7%,33%,,13%,89%,2%,9%,0%,58050,3222735698,65288,3624570477
,Russia,,Female,SME,224660,94%,28%,17%,34%,44%,26%,40%,26%,8%,15%,,30%,70%,23%,7%,0%,42328,9509377724,10315,2317472159
,Rwanda,,Female,SME,13979,87%,42%,36%,47%,37%,19%,33%,36%,11%,27%,24.61,25%,100%,0%,0%,0%,3917,54759421,297,4150348
,Saint Lucia,,Female,SME,466,,,,,,,,,,,,,,,,,62267,28999682,8065,3756232
,Saint Vincent and the Grenadines,,Female,SME,233,,,,,,,,,,,,,,,,,51879,12080926,6720,1564802
,Samoa,,Female,SME,172,99%,65%,54%,76%,17%,8%,16%,55%,22%,18%,,,97%,0%,0%,3%,53019,9101332,16503,2832944
,Sao Tome and Principe,,Female,SME,229,,,,,,,,,,,,,,,,,24258,5558637,1146,262631
,Saudi Arabia,,Female,SME,106817,,,,,,,,,,,,,,,,,357629,38200808056,1156,123483422
,Senegal,,Female,SME,16262,91%,33%,30%,41%,38%,16%,43%,26%,14%,17%,30.32,29%,70%,3%,22%,5%,52935,860854216,318,5179253
,Serbia,,Female,SME,8295,100%,72%,63%,85%,30%,9%,6%,64%,21%,11%,,26%,88%,7%,3%,2%,87039,721971723,0,0
,Sierra Leone,,Female,SME,450,,,,,,,,,,,,,,,,,90541,40775078,3709,1670152
,Singapore,,Female,SME,18042,,,,,,,,,,,,,,,,,163173,2943982413,316398,5708482652
,Slovakia,,Female,SME,8214,19%,60%,50%,74%,25%,21%,4%,55%,19%,16%,,18%,80%,16%,0%,3%,97181,798277727,193830,1592191240
,Slovenia,,Female,SME,11546,100%,56%,78%,86%,15%,11%,3%,50%,36%,10%,,2%,30%,67%,4%,0%,139267,1607992659,0,0
,Solomon Islands,,Female,SME,1111,,,,,,,,,,,,,,,,,11969,13295063,20236,22477860
,Somalia,,Female,SME,7560,,,,,,,,,,,,,,,,,29074,219806171,1029,7780707
,South Africa,,Female,SME,23353,98%,52%,36%,62%,22%,20%,18%,29%,33%,12%,31.26,4%,96%,0%,4%,0%,38875,907842650,571,13338753
,Spain,,Female,SME,342242,,,,,,,,,,,,,,,,,0,0,0,0
,Sri Lanka,,Female,SME,609,,,,,,,,,,,,,,,,,13576,8263648,9092,5534692
,Sudan,,Female,SME,27925,,,,,,,,,,,,,,,,,52860,1476101569,1835,51246750
,Suriname,,Female,SME,1164,,,,,,,,,,,,,,,,,54396,63335463,7046,8203631
,Swaziland,,Female,SME,1714,96%,33%,28%,38%,37%,39%,23%,26%,12%,25%,53.37,20%,76%,19%,5%,0%,22831,39132474,310,530964
,Sweden,,Female,SME,45037,,,,,,,,,,,,,,,,,0,0,0,0
,Switzerland,,Female,SME,42510,,,,,,,,,,,,,,,,,0,0,0,0
,Syria,,Female,SME,17814,,,,,,,,,,,,,,,,,53752,957556614,1903,33895625
,Tajikistan,,Female,SME,10986,72%,19%,39%,44%,32%,13%,43%,25%,19%,12%,,15%,58%,39%,2%,1%,3202,35175075,916,10062956
,Tanzania,,Female,SME,72535,89%,10%,17%,20%,45%,5%,75%,12%,9%,28%,23.35,34%,48%,2%,49%,0%,3384,245453468,148,10770093
,Thailand,,Female,SME,235605,,,,,,,,,,,,,,,,,21455,5054963463,47542,11201058553
,Timor-Leste,,Female,SME,678,88%,17%,7%,18%,30%,32%,50%,10%,8%,,,,60%,40%,0%,0%,18404,12479644,9542,6470573
,Togo,,Female,SME,0,,,,,,,,,,,,,,,,,,137601463,,6501305
,Tonga,,Female,SME,349,100%,37%,48%,58%,13%,18%,23%,53%,5%,21%,,,68%,3%,26%,3%,20199,7059426,415,145033
,Trinidad and Tobago,,Female,SME,2194,,,,,,,,,,,,,,,,,226335,496500496,25772,56535700
,Tunisia,,Female,SME,949,,,,,,,,,,,,,,,,,96557,91603065,3334,3162566
,Turkey,,Female,SME,205196,90%,69%,49%,80%,17%,16%,4%,50%,30%,19%,,16%,55%,45%,0%,0%,56207,11533387617,14848,3046656310
,Turkmenistan,,Female,SME,13263,,,,,,,,,,,,,,,,,26536,351938053,4836,64132179
,Uganda,,Female,SME,6619,82%,11%,16%,23%,52%,22%,55%,20%,3%,13%,18.35,23%,70%,0%,30%,0%,5777,38237067,435,2879627
,Ukraine,,Female,SME,75850,89%,37%,19%,42%,34%,27%,31%,31%,11%,19%,,16%,91%,7%,1%,0%,13990,1061164583,4205,318933431
,United Arab Emirates,,Female,SME,5096,,,,,,,,,,,,,,,,,349804,1782436169,15889,80961057
,United Kingdom,,Female,SME,224578,,,,,,,,,,,,,,,,,0,0,0,0
,United States,,Female,SME,931586,,,,,,,,,,,,,,,,,0,0,0,0
,Uruguay,,Female,SME,11866,81%,44%,36%,57%,21%,22%,22%,40%,17%,6%,,,63%,30%,6%,1%,48329,573488895,5256,62372859
,Uzbekistan,,Female,SME,62547,95%,6%,16%,17%,20%,39%,44%,10%,7%,12%,,7%,47%,48%,5%,0%,38710,2421192946,1007,63000011
,Venezuela,,Female,SME,49306,96%,32%,29%,43%,11%,25%,32%,30%,13%,18%,,,85%,15%,0%,0%,66367,3272289432,1918,94575265
,Vietnam,,Female,SME,328459,84%,11%,37%,40%,25%,21%,38%,21%,20%,17%,,,60%,40%,0%,0%,6517,2140683232,6889,2262605261
,Yemen,,Female,SME,4208,63%,13%,8%,14%,29%,61%,25%,6%,8%,5%,,,97%,3%,0%,0%,5383,22650076,420,1767447
,Zambia,,Female,SME,25630,93%,42%,16%,46%,25%,24%,30%,25%,21%,11%,21.6,18%,66%,27%,6%,1%,23645,606020312,1617,41451962
,Zimbabwe,,Female,SME,14207,,,,,,,,,,,,,,,,,17910,254449728,846,12022077
,Argentina,Informal,,,1672408,2%,4%,6%,6%,31%,56%,38%,4%,2%,4%,,,21%,7%,68%,3%,8865,14826698911,8605,14390349131
Central Asia and Eastern Europe,,,Female,SME,1291274,91%,42%,36%,53%,27%,26%,21%,38%,15%,18%,26.08,17%,71%,27%,3%,0%,51112,65999315379,11385,14701061319
East Asia,,,Female,SME,5321144,46%,6%,14%,16%,18%,26%,58%,10%,6%,19%,,15%,31%,37%,28%,3%,12686,67505559446,20735,110332293122
Latin America,,,Female,SME,1313787,86%,61%,48%,70%,33%,16%,14%,54%,16%,11%,24.57,19%,73%,19%,7%,1%,65184,85637824802,2878,3780789502
MENA,,,Female,SME,291966,82%,41%,30%,46%,49%,28%,26%,37%,9%,14%,36.64,55%,51%,39%,10%,0%,170966,49916247072,3186,930074792
South Asia,,,Female,SME,202169,92%,28%,28%,30%,23%,49%,21%,14%,16%,15%,46.15,19%,91%,2%,7%,0%,7749,1566609741,3534,714557138
Sub-Saharan Africa,,,Female,SME,918838,88%,20%,20%,28%,46%,18%,54%,20%,8%,15%,24.85,29%,66%,15%,17%,2%,17548,16124045198,900,826561468
,,,Female,SME,9339178,64%,22%,23%,31%,25%,24%,45%,22%,9%,17%,27.08,19%,48%,30%,20%,2%,30704,286749601637,14057,131285337341
,Afghanistan,Informal,,,1169914,36%,7%,9%,14%,,47%,40%,10%,4%,,,,0%,0%,0%,100%,1585,1854707330,2473,2893669507
,Afghanistan,Micro,,,104503,60%,20%,0%,20%,28%,40%,40%,13%,7%,,,,,,,,2324,242850582,2325,242963854
,Afghanistan,Very Small,,,34834,65%,22%,2%,22%,36%,42%,36%,18%,4%,4%,,,50%,50%,0%,0%,7306,254490434,5966,207834675
,Afghanistan,Small,,,3179,78%,30%,3%,30%,37%,31%,39%,23%,8%,9%,,,17%,17%,17%,50%,19860,63126797,9161,29118576
,Afghanistan,Medium,,,159,94%,49%,9%,50%,46%,22%,28%,33%,17%,25%,,,80%,20%,0%,0%,116827,18611285,16883,2689551
,Albania,Informal,,,66051,47%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3943,260452179,3719,245640443
,Albania,Micro,,,50710,,,,,,,,,,,,,,,,,4785,242626022,2922,148194996
,Albania,Very Small,,,12677,92%,80%,44%,80%,17%,13%,7%,54%,26%,26%,40.08,3%,100%,0%,0%,0%,12945,164112933,2124,26926583
,Albania,Small,,,4300,100%,89%,56%,91%,17%,6%,3%,62%,29%,16%,40.54,13%,99%,0%,1%,0%,42530,182877290,0,0
,Albania,Medium,,,1092,100%,93%,51%,93%,16%,6%,1%,70%,23%,20%,43.85,5%,98%,0%,2%,0%,143696,156915697,0,0
,Algeria,Informal,,,1088255,43%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2778,3022858989,896,975260669
,Algeria,Micro,,,419226,,,,,,,,,,,,,,,,,6587,2761577238,649,271937975
,Algeria,Very Small,,,73981,85%,22%,9%,24%,54%,38%,38%,17%,7%,9%,33.18,63%,47%,47%,6%,0%,10366,766923465,902,66748412
,Algeria,Small,,,86642,83%,42%,36%,51%,48%,25%,24%,47%,3%,20%,37.94,22%,18%,82%,0%,0%,22425,1942983947,1928,167021872
,Algeria,Medium,,,44629,87%,67%,58%,73%,42%,11%,16%,67%,6%,15%,37.67,22%,36%,64%,0%,0%,176803,7890597291,11667,520681089
,Angola,Informal,,,593518,61%,4%,4%,4%,,31%,65%,3%,1%,,,,38%,0%,0%,62%,4249,2521614956,809,480296628
,Angola,Micro,,,164439,,,,,,,,,,,,,,,,,7924,1303085788,1371,225525811
,Angola,Very Small,,,18271,76%,8%,6%,12%,23%,38%,50%,12%,0%,,,,33%,33%,33%,0%,14538,265631581,1248,22808983
,Angola,Small,,,54008,89%,9%,9%,13%,49%,42%,46%,12%,0%,5%,,,68%,32%,0%,0%,47076,2542487241,2518,136011063
,Angola,Medium,,,14756,92%,25%,15%,26%,38%,48%,26%,20%,7%,17%,,,60%,30%,10%,0%,185424,2736178171,5370,79241761
,Argentina,Micro,,,283274,97%,52%,19%,52%,46%,26%,23%,45%,6%,9%,,,88%,12%,0%,0%,19021,5388092794,724,204959803
,Argentina,Very Small,,,49990,98%,69%,30%,73%,53%,4%,23%,66%,7%,10%,,,73%,27%,0%,0%,47550,2377010554,537,26850593
,Argentina,Small,,,102057,98%,77%,53%,81%,39%,5%,15%,70%,11%,7%,,,74%,21%,1%,3%,168438,17190276929,3012,307383907
,Argentina,Medium,,,25366,100%,86%,68%,88%,33%,4%,8%,75%,13%,7%,,,78%,20%,0%,1%,1058433,26847944479,3608,91509091
,Armenia,Informal,,,66051,40%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2718,179552820,2918,192761467
,Armenia,Micro,,,78976,67%,27%,40%,55%,40%,20%,25%,45%,10%,15%,,0%,83%,0%,0%,17%,6468,510816846,2790,220332789
,Armenia,Very Small,,,19744,86%,32%,41%,54%,39%,25%,21%,47%,7%,22%,,22%,83%,12%,6%,0%,10333,204010757,2713,53574536
,Armenia,Small,,,24413,93%,45%,39%,63%,29%,21%,16%,44%,20%,17%,,4%,79%,12%,4%,5%,24349,594436491,3150,76910470
,Armenia,Medium,,,7204,93%,62%,60%,74%,23%,13%,12%,53%,22%,14%,,9%,95%,2%,3%,0%,84574,609258419,11998,86432459
,Australia,Informal,,,399309,,,,,,,,,,,,,,,,,,,,
,Australia,Micro,,,369212,,,,,,,,,,,,,,,,,,,,
,Australia,Very Small,,,158234,,,,,,,,,,,,,,,,,,,,
,Australia,Small,,,228313,,,,,,,,,,,,,,,,,,,,
,Australia,Medium,,,78304,,,,,,,,,,,,,,,,,,,,
,Austria,Informal,,,110185,,,,,,,,,,,,,,,,,,,,
,Austria,Micro,,,176016,,,,,,,,,,,,,,,,,,,,
,Austria,Very Small,,,75436,,,,,,,,,,,,,,,,,,,,
,Austria,Small,,,30254,,,,,,,,,,,,,,,,,,,,
,Austria,Medium,,,4690,,,,,,,,,,,,,,,,,,,,
,Azerbaijan,Informal,,,183239,30%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2216,406027372,2788,510852969
,Azerbaijan,Micro,,,132261,,,,,,,,,,,,,,,,,3578,473283168,2186,289079451
,Azerbaijan,Very Small,,,33065,63%,10%,18%,22%,33%,36%,42%,20%,2%,17%,,51%,94%,0%,6%,0%,9937,328578886,5672,187562197
,Azerbaijan,Small,,,16142,77%,16%,14%,23%,30%,35%,42%,15%,7%,14%,,36%,96%,4%,0%,0%,30076,485478231,11054,178425332
,Azerbaijan,Medium,,,2541,92%,30%,22%,38%,29%,34%,28%,23%,15%,15%,,41%,83%,17%,0%,0%,109355,277827934,14045,35683353
,Bahamas,Informal,,,19596,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,20926,410067014,12346,241935754
,Bahamas,Very Small,,,1130,,,,,,,,,,,,,,,,,59343,67034070,14358,16218827
,Bahamas,Small,,,580,,,,,,,,,,,,,,,,,215803,125109964,21804,12640695
,Bahamas,Medium,,,103,,,,,,,,,,,,,,,,,1439730,148080750,150472,15476561
,Bahrain,Informal,,,37769,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,12645,477602754,1917,72390284
,Bahrain,Micro,,,12467,,,,,,,,,,,,,,,,,29849,372123407,1432,17857089
,Bahrain,Very Small,,,2200,,,,,,,,,,,,,,,,,37070,81555648,2477,5449434
,Bahrain,Small,,,2434,,,,,,,,,,,,,,,,,145409,353925872,8025,19532798
,Bahrain,Medium,,,1636,,,,,,,,,,,,,,,,,1054164,1724612418,30636,50120297
,Bangladesh,Informal,,,7639530,,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,707,5400415378,990,7560202412
,Bangladesh,Micro,,,2183519,,,,,,,,,,,,,,,,,1451,3168926564,1699,3710508678
,Bangladesh,Very Small,,,727840,,,,,,,,,,,,,,,,,1989,1447828127,1997,1453573193
,Bangladesh,Small,,,72935,91%,,,,31%,,,,,,,,,,,,3489,254504068,990,72219780
,Bangladesh,Medium,,,3266,99%,,,,21%,,,,,,,,,,,,42033,137281084,670,2188356
,Barbados,Informal,,,11789,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,11731,138288494,6921,81588935
,Barbados,Micro,,,6401,,,,,,,,,,,,,,,,,32141,205738804,1701,10888392
,Barbados,Very Small,,,1130,,,,,,,,,,,,,,,,,33267,37578635,8049,9092113
,Barbados,Small,,,580,,,,,,,,,,,,,,,,,120977,70135405,12223,7086248
,Barbados,Medium,,,103,,,,,,,,,,,,,,,,,807099,83012600,84353,8676007
,Belarus,Informal,,,206677,44%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,3095,639761196,3106,642009325
,Belarus,Micro,,,1,,,,,,,,,,,,,,,,,6114,4891,3948,3158
,Belarus,Very Small,,,0,88%,28%,31%,45%,38%,25%,29%,32%,13%,12%,,12%,54%,46%,0%,0%,10385,2077,2653,531
,Belarus,Small,,,67991,87%,32%,45%,59%,41%,18%,23%,44%,15%,13%,,18%,58%,42%,0%,0%,44769,3043891391,9908,673637472
,Belarus,Medium,,,2866,96%,48%,68%,78%,30%,12%,11%,64%,14%,9%,,4%,26%,68%,2%,4%,176911,506949139,7172,20551965
,Belgium,Informal,,,200610,,,,,,,,,,,,,,,,,,,,
,Belgium,Micro,,,274511,,,,,,,,,,,,,,,,,,,,
,Belgium,Very Small,,,117647,,,,,,,,,,,,,,,,,,,,
,Belgium,Small,,,27564,,,,,,,,,,,,,,,,,,,,
,Belgium,Medium,,,3979,,,,,,,,,,,,,,,,,,,,
,Belize,Informal,,,19596,,13%,13%,13%,,47%,40%,9%,4%,,,,,,,,5651,110730341,3334,65329879
,Belize,Micro,,,1,,,,,,,,,,,,,,,,,15482,13160,819,696
,Belize,Very Small,,,0,,,,,,,,,,,,,,,,,16024,2404,3877,582
,Belize,Small,,,17000,,,,,,,,,,,,,,,,,58273,990646764,5888,100091655
,Belize,Medium,,,103,,,,,,,,,,,,,,,,,388770,39986225,40632,4179134
,Benin,Informal,,,556753,,7%,7%,7%,,50%,43%,5%,2%,,,,,,,,1215,676557371,535,297584417
,Benin,Micro,,,78482,98%,45%,40%,57%,74%,2%,40%,57%,0%,12%,,,69%,13%,19%,0%,3328,261186549,576,45203707
,Benin,Very Small,,,8720,93%,63%,29%,69%,68%,5%,26%,62%,7%,24%,,,55%,18%,9%,18%,6106,53242386,524,4571763
,Benin,Small,,,25777,98%,70%,42%,75%,49%,7%,18%,58%,16%,18%,,,87%,13%,0%,0%,19770,509608404,1058,27261644
,Benin,Medium,,,7043,,,,,,,,,,,,,,,,,77871,548431225,2255,15882977
,Bhutan,Informal,,,31138,42%,7%,9%,14%,,47%,40%,10%,4%,,,,,,,,2165,67407182,3050,94970973
,Bhutan,Micro,,,2781,,,,,,,,,,,,,,,,,4668,12984892,5452,15165756
,Bhutan,Very Small,,,927,84%,37%,38%,53%,30%,15%,32%,45%,8%,24%,,,,,,,8685,8052088,2701,2504471
,Bhutan,Small,,,85,97%,56%,57%,74%,26%,12%,15%,62%,12%,18%,,,,,,,42838,3624205,2765,233921
,Bhutan,Medium,,,4,98%,80%,72%,90%,27%,10%,0%,63%,27%,24%,,,,,,,168746,715500,8709,36928
,Bolivia,Informal,,,754995,47%,13%,14%,14%,,47%,40%,10%,4%,,,,,,,,5227,3946513785,2564,1936168213
,Bolivia,Micro,,,349466,,,,,,,,,,,,,,,,,6917,2417385908,364,127289281
,Bolivia,Very Small,,,61671,93%,48%,30%,59%,31%,17%,24%,44%,14%,14%,,,77%,0%,18%,5%,25114,1548806199,1393,85913492
,Bolivia,Small,,,5645,95%,55%,55%,73%,21%,10%,17%,52%,21%,19%,,,93%,1%,6%,0%,50258,283708378,2388,13478498
,Bolivia,Medium,,,,,,,,,,,,,,,,,,,,,,,
,Bosnia and Herzegovina,Informal,,,80966,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,8898,720473768,9239,748051780
,Bosnia and Herzegovina,Micro,,,120886,,,,,,,,,,,,,,,,,13562,1639423762,8283,1001353423
,Bosnia and Herzegovina,Very Small,,,30221,,,,,,,,,,,,,,,,,29323,886167564,6510,196749238
,Bosnia and Herzegovina,Small,,,8712,,,,,,,,,,,,,,,,,142486,1241333735,25384,221143923
,Bosnia and Herzegovina,Medium,,,1476,,,,,,,,,,,,,,,,,339799,501543815,56538,83449733
,Botswana,Informal,,,54312,31%,2%,2%,2%,,64%,34%,1%,1%,,,,0%,0%,0%,100%,3469,188390684,2234,121345479
,Botswana,Micro,,,36000,,,,,,,,,,,,,,,,,12367,445222974,2140,77054998
,Botswana,Very Small,,,4000,100%,30%,26%,40%,42%,42%,18%,31%,9%,24%,,,80%,7%,0%,13%,22689,90757864,1948,7793104
,Botswana,Small,,,4800,98%,57%,63%,81%,23%,13%,6%,63%,19%,14%,,,85%,5%,6%,4%,73469,352651348,3930,18865182
,Botswana,Medium,,,240,98%,66%,55%,78%,14%,19%,3%,55%,22%,11%,,,94%,6%,0%,0%,289383,69451821,8381,2011377
,Brazil,Informal,,,12122524,49%,12%,13%,13%,,47%,40%,9%,4%,,,,,,,,8247,99969930193,5360,64978036014
,Brazil,Micro,,,2968495,97%,79%,49%,82%,40%,12%,6%,55%,26%,13%,,27%,37%,63%,0%,0%,18238,54140060771,0,0
,Brazil,Very Small,,,523852,95%,78%,55%,82%,49%,9%,9%,66%,16%,11%,,16%,52%,42%,4%,1%,26308,13781412991,762,399043874
,Brazil,Small,,,364732,97%,80%,60%,86%,50%,6%,8%,75%,11%,9%,,20%,59%,37%,3%,1%,95508,34834990653,3243,1182834770
,Brazil,Medium,,,50741,100%,88%,73%,92%,50%,3%,5%,80%,12%,8%,,20%,70%,27%,2%,2%,683922,34703054520,5860,297334850
,Brunei Darussalam,Informal,,,32887,,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,24826,816433888,121061,3981303589
,Brunei Darussalam,Micro,,,9102,,,,,,,,,,,,,,,,,61145,556557453,,
,Iceland,Micro,,,16509,,,,,,,,,,,,,,,,,,,,
,Brunei Darussalam,Very Small,,,3901,,,,,,,,,,,,,,,,,114859,448060639,275163,1073400235
,Brunei Darussalam,Small,,,16027,,,,,,,,,,,,,,,,,282223,4523248252,236608,3792166395
,Brunei Darussalam,Medium,,,1210,,,,,,,,,,,,,,,,,1824409,2206805613,832633,1007152873
,Canada,Informal,,,628577,,,,,,,,,,,,,,,,,,,,
,Bulgaria,Informal,,,258752,45%,7%,9%,11%,,48%,41%,8%,3%,,,,,,,,2083,538860490,2050,530556367
,Bulgaria,Micro,,,183642,81%,3%,16%,16%,23%,44%,41%,13%,3%,3%,,40%,100%,0%,0%,0%,2322,426407149,731,134184708
,Bulgaria,Very Small,,,45911,98%,29%,37%,47%,23%,32%,21%,32%,15%,26%,,17%,82%,18%,0%,0%,8509,390645161,350,16046233
,Bulgaria,Small,,,22947,98%,33%,48%,56%,16%,25%,19%,44%,13%,16%,,8%,95%,3%,2%,0%,52966,1215411002,1869,42885387
,Bulgaria,Medium,,,4739,100%,27%,55%,63%,10%,29%,7%,45%,18%,10%,,28%,88%,9%,3%,0%,135716,643156748,0,0
,Burkina Faso,Informal,,,806693,35%,5%,5%,5%,,17%,78%,4%,2%,,,,0%,0%,0%,100%,1872,1509894585,488,393944224
,Burkina Faso,Micro,,,1,,,,,,,,,,,,,,,,,1092,982,189,170
